Difference: 123.846558, Indices: [0, 1, 0, 4, 0, 1]
Difference: 124.603938, Indices: [0, 0, 0, 3, 2, 0]
Difference: 124.603938, Indices: [0, 0, 0, 3, 2, 1]
Difference: 124.603938, Indices: [0, 0, 0, 3, 2, 2]
Difference: 124.787906, Indices: [0, 0, 0, 0, 7, 0]
Difference: 124.787906, Indices: [0, 0, 0, 0, 7, 1]
Difference: 124.787906, Indices: [0, 0, 0, 0, 7, 2]
Difference: 124.798054, Indices: [0, 0, 0, 0, 3, 0]
Difference: 124.798054, Indices: [0, 0, 0, 0, 3, 1]
Difference: 124.798054, Indices: [0, 0, 0, 0, 3, 2]
Difference: 124.798054, Indices: [0, 0, 0, 0, 4, 0]
Difference: 124.798054, Indices: [0, 0, 0, 0, 4, 1]
Difference: 124.798054, Indices: [0, 0, 0, 0, 4, 2]
Difference: 124.798054, Indices: [0, 0, 0, 0, 5, 0]
Difference: 124.798054, Indices: [0, 0, 0, 0, 5, 1]
Difference: 124.798054, Indices: [0, 0, 0, 0, 5, 2]
Difference: 124.798054, Indices: [0, 0, 0, 0, 6, 0]
Difference: 124.798054, Indices: [0, 0, 0, 0, 6, 1]
Difference: 124.798054, Indices: [0, 0, 0, 0, 6, 2]
Difference: 124.909550, Indices: [0, 1, 0, 4, 3, 1]
Difference: 124.909550, Indices: [0, 1, 0, 4, 4, 1]
Difference: 124.909550, Indices: [0, 1, 0, 4, 5, 1]
Difference: 124.909550, Indices: [0, 1, 0, 4, 6, 1]
Difference: 124.922506, Indices: [0, 1, 0, 4, 7, 1]
Difference: 124.930389, Indices: [0, 1, 0, 4, 2, 1]
Difference: 125.707621, Indices: [0, 0, 0, 0, 0, 0]
Difference: 125.707621, Indices: [0, 0, 0, 0, 0, 1]
Difference: 125.707621, Indices: [0, 0, 0, 0, 0, 2]
Difference: 126.001569, Indices: [0, 0, 0, 0, 1, 0]
Difference: 126.001569, Indices: [0, 0, 0, 0, 1, 1]
Difference: 126.001569, Indices: [0, 0, 0, 0, 1, 2]
Difference: 126.468130, Indices: [0, 0, 0, 3, 7, 0]
Difference: 126.468130, Indices: [0, 0, 0, 3, 7, 1]
Difference: 126.468130, Indices: [0, 0, 0, 3, 7, 2]
Difference: 126.478713, Indices: [0, 0, 0, 3, 3, 0]
Difference: 126.478713, Indices: [0, 0, 0, 3, 3, 1]
Difference: 126.478713, Indices: [0, 0, 0, 3, 3, 2]
Difference: 126.478713, Indices: [0, 0, 0, 3, 4, 0]
Difference: 126.478713, Indices: [0, 0, 0, 3, 4, 1]
Difference: 126.478713, Indices: [0, 0, 0, 3, 4, 2]
Difference: 126.478713, Indices: [0, 0, 0, 3, 5, 0]
Difference: 126.478713, Indices: [0, 0, 0, 3, 5, 1]
Difference: 126.478713, Indices: [0, 0, 0, 3, 5, 2]
Difference: 126.478713, Indices: [0, 0, 0, 3, 6, 0]
